username,first name,user id,access hash,group,group id,status
,Josiane Pinheiro Santana,5872941085,-3542334678239785735,Rica Slots 💵🤑,1809129171,2023-09-05 15:02:16+00:00
,Greice,5906232959,5137579708859014529,Rica Slots 💵🤑,1809129171,2023-09-05 10:41:51+00:00
,ALGUEM PRA TROCA IMPULSO BTG CHAMA CHAT,997185916,7591479462082103953,Rica Slots 💵🤑,1809129171,2023-09-05 04:53:02+00:00
Gallegoh1,Allan,1893446663,-7600842498982587921,Rica Slots 💵🤑,1809129171,2023-09-04 18:56:13+00:00
,Felipe,2048076867,3855328140401985621,Rica Slots 💵🤑,1809129171,2023-09-04 18:57:03+00:00
todao66,Fenix Apple,5873414931,-3476201711121120297,Rica Slots 💵🤑,1809129171,UserStatusOnline
glauciorefrigeracao,Claucio,1888804527,7443270838459462544,Rica Slots 💵🤑,1809129171,2023-09-05 21:21:00+00:00
Cyybern,Internet Ilimitada Top,5339004050,2206569148741386986,Rica Slots 💵🤑,1809129171,2023-09-05 14:17:28+00:00
Toinfelix,Cleverson,1953717627,5921504747486743277,Rica Slots 💵🤑,1809129171,UserStatusRecently
,Adriana,1717424283,-2896928420841181719,Rica Slots 💵🤑,1809129171,2023-09-05 01:45:12+00:00
,Julia,1777557056,1954737339558262426,Rica Slots 💵🤑,1809129171,2023-09-05 22:57:13+00:00
,Alison,6049568900,2655462403438111695,Rica Slots 💵🤑,1809129171,2023-09-04 21:46:43+00:00
teffecinco,ainda,6266749624,5177873782243188985,Rica Slots 💵🤑,1809129171,2023-09-05 09:43:21+00:00
A_Trader1,ARTUR FX,5396190590,-8497815159844511964,Rica Slots 💵🤑,1809129171,2023-09-04 23:03:06+00:00
bladstcre,I.T,5696049922,-2828578562617214601,Rica Slots 💵🤑,1809129171,UserStatusRecently
,Jefferson,5032220326,-2110763690762343290,Rica Slots 💵🤑,1809129171,2023-09-04 21:09:49+00:00
,Helton Trader,5269671094,5471388391359001730,Rica Slots 💵🤑,1809129171,2023-09-05 03:24:00+00:00
Dertaeq2,Johnny,5347092296,3507775197245772474,Rica Slots 💵🤑,1809129171,2023-09-05 13:51:43+00:00
Trem2bala,Balaaaa,5372909512,-2922597686608717502,Rica Slots 💵🤑,1809129171,2023-09-05 02:07:42+00:00
Jerims,Joao Trader,800304737,-4660387765930733162,Rica Slots 💵🤑,1809129171,2023-09-05 00:01:09+00:00
,Lailson,6277334903,-7032769061567652249,Rica Slots 💵🤑,1809129171,2023-09-04 01:08:15+00:00
,Lailson,5978890419,-3167637428084565909,Rica Slots 💵🤑,1809129171,2023-09-04 00:01:21+00:00
BOT_TREVO,TREVO DA SORTE 🍀,6019018695,-249178859829649231,Rica Slots 💵🤑,1809129171,2023-09-05 16:33:40+00:00
TARNOWSKIi,Bruno Juarez,5187929582,-7774631736494808721,Rica Slots 💵🤑,1809129171,2023-09-05 10:41:20+00:00
,Bruno,6263248514,-6173589983416337682,Rica Slots 💵🤑,1809129171,2023-09-05 23:50:08+00:00
,Andrei,5108311656,-6939322381309493402,Rica Slots 💵🤑,1809129171,UserStatusRecently
Chaakalquerodinheiro,CAVALO DE TROIA - OFC,5546312485,2831952354416321348,Rica Slots 💵🤑,1809129171,2023-09-04 20:37:18+00:00
,Alcier,5965928601,-4133207613578456906,Rica Slots 💵🤑,1809129171,2023-09-05 23:36:17+00:00
,celia,6041526828,-2297244563677785581,Rica Slots 💵🤑,1809129171,2023-09-05 23:31:24+00:00
Teamcryptorecoverytech,Team Crypto and Recovery Services,5029991565,-6074836438643013107,Rica Slots 💵🤑,1809129171,2023-09-05 16:40:46+00:00
,Eline,5897336971,3188013076936752613,Rica Slots 💵🤑,1809129171,2023-09-05 15:06:12+00:00
,Aurelia,5543381658,-2948798784755646920,Rica Slots 💵🤑,1809129171,2023-09-05 04:13:28+00:00
estrelinhaS2,Thay Araujo,5982549335,-1039649780351479475,Rica Slots 💵🤑,1809129171,2023-09-05 23:10:42+00:00
deivisongay,Bryan,6027345343,-6525644521288145529,Rica Slots 💵🤑,1809129171,2023-09-05 20:54:19+00:00
,thx.sk8,5125981535,7743514836088088614,Rica Slots 💵🤑,1809129171,2023-09-05 18:36:17+00:00
Tainamuniz1,Tainá,1926589432,6238382969453143078,Rica Slots 💵🤑,1809129171,UserStatusRecently
Razoalvel,ta,5040272657,8637312926953013689,Rica Slots 💵🤑,1809129171,UserStatusRecently
thayy20452,Tainara,1670293245,-2623078160966338394,Rica Slots 💵🤑,1809129171,UserStatusRecently
elifturk1,Elif,964765733,8819351439097583587,Rica Slots 💵🤑,1809129171,UserStatusRecently
Dangrau,Danilo,1745731240,8026671273822740075,Rica Slots 💵🤑,1809129171,2023-09-05 05:09:30+00:00
Devsont5,Devson,1802497759,6788882515933736958,Rica Slots 💵🤑,1809129171,2023-09-05 16:02:44+00:00
Totinagestao,Edvan,5070343019,-2846723033435993017,Rica Slots 💵🤑,1809129171,2023-09-05 19:50:20+00:00
,Eduardo,1115322445,6795483911639129680,Rica Slots 💵🤑,1809129171,2023-09-04 17:46:51+00:00
Alana208,Alana Tomás,5052069459,7787856319743483385,Rica Slots 💵🤑,1809129171,2023-09-04 20:02:19+00:00
anntana,AnA,5695397206,-37315386933389908,Rica Slots 💵🤑,1809129171,2023-09-05 16:47:14+00:00
Augustosjhsj,RUYTER 🍃🦅,1375537597,6954075609433754392,Rica Slots 💵🤑,1809129171,2023-09-05 23:44:34+00:00
Alineturibio,Aline,1164579684,-7446769113058591009,Rica Slots 💵🤑,1809129171,2023-09-05 23:30:48+00:00
Bestsiry,B€$t siry,1200607198,-1917898726834860654,Rica Slots 💵🤑,1809129171,2023-09-05 18:51:16+00:00
,Celma,2144133804,4670910731547952010,Rica Slots 💵🤑,1809129171,2023-09-05 01:21:33+00:00
Tayroneavila,Apostador,5158138123,779464970899484016,Rica Slots 💵🤑,1809129171,2023-09-05 17:38:56+00:00
,Ana Cristina,5215348090,5985094596240843488,Rica Slots 💵🤑,1809129171,2023-09-05 21:56:46+00:00
,Alison,5347393292,867033307844548665,Rica Slots 💵🤑,1809129171,2023-09-05 23:50:57+00:00
,Justin Timberlake,6143776614,9028238904745736979,Rica Slots 💵🤑,1809129171,2023-09-05 15:17:26+00:00
,Tiao,6271955150,-6457560046017463139,Rica Slots 💵🤑,1809129171,2023-09-04 23:09:42+00:00
Liviaela,Livia,6006127784,4126320633044355136,Rica Slots 💵🤑,1809129171,2023-09-05 20:30:39+00:00
